Date,Open,High,Low,Close,Adj Close,Volume
2014-11-14,209.789993,209.889999,209.789993,209.889999,151.788147,100
2014-11-17,210.000000,210.000000,210.000000,210.000000,151.867691,100
2014-11-18,219.199997,219.199997,219.149994,219.149994,158.484772,100
2014-11-19,215.300003,215.300003,215.300003,215.300003,155.700516,0
2014-11-20,218.110001,218.110001,218.110001,218.110001,157.732681,100
2014-11-21,218.850006,218.850006,218.050003,218.850006,158.267822,100
2014-11-24,218.850006,218.850006,218.850006,218.850006,158.267822,0
2014-11-25,218.850006,218.850006,218.850006,218.850006,158.267822,0
2014-11-26,218.850006,218.850006,218.850006,218.850006,158.267822,0
2014-11-28,225.449997,225.449997,223.949997,223.949997,161.956039,100
2014-12-01,228.250000,228.899994,228.250000,228.899994,165.535767,200
2014-12-02,224.550003,226.449997,224.550003,226.449997,163.764008,100
2014-12-03,226.449997,226.449997,226.449997,226.449997,163.764008,0
2014-12-04,225.350006,225.449997,223.050003,223.050003,161.305191,100
2014-12-05,225.460007,229.199997,225.460007,229.199997,165.752716,100
2014-12-08,227.149994,227.399994,227.149994,227.149994,164.270187,100
2014-12-09,226.250000,226.449997,222.800003,222.800003,161.124390,100
2014-12-10,225.850006,225.850006,223.550003,223.899994,161.919876,200
2014-12-11,225.899994,228.199997,225.800003,228.199997,165.029526,100
2014-12-12,226.050003,226.050003,221.059998,221.110001,159.902222,700
2014-12-15,221.289993,222.600006,213.970001,214.000000,154.760406,100
2014-12-16,215.050003,219.350006,215.050003,219.350006,158.629410,500
2014-12-17,221.059998,221.059998,220.399994,220.399994,159.388748,3300
2014-12-18,221.149994,222.649994,221.149994,221.750000,160.365021,100
2014-12-19,223.699997,224.520004,223.699997,224.520004,162.368256,100
2014-12-22,222.500000,223.199997,220.750000,222.899994,161.196686,300
2014-12-23,222.899994,222.899994,222.350006,222.350006,160.798965,100
2014-12-24,222.350006,222.350006,222.350006,222.350006,160.798965,0
2014-12-26,219.610001,219.610001,219.610001,219.610001,158.817444,200
2014-12-29,223.600006,223.600006,219.869995,219.869995,159.005478,100
2014-12-30,221.199997,221.199997,218.869995,221.199997,159.967270,300
2014-12-31,220.600006,220.600006,216.389999,216.389999,156.488800,100
2015-01-02,215.000000,215.000000,214.899994,214.899994,155.411255,100
2015-01-05,207.500000,207.919998,206.899994,207.919998,150.363480,500
2015-01-06,207.690002,207.690002,207.690002,207.690002,150.197159,100
2015-01-07,208.050003,208.050003,208.000000,208.000000,150.421326,100
2015-01-08,216.699997,216.699997,216.699997,216.699997,156.712997,100
2015-01-09,211.899994,211.899994,211.899994,211.899994,153.241714,1300
2015-01-12,209.850006,211.899994,209.850006,211.899994,153.241714,100
2015-01-13,214.649994,214.649994,214.350006,214.350006,155.013519,200
2015-01-14,215.899994,215.949997,214.740005,215.949997,156.170593,100
2015-01-15,214.490005,214.490005,214.490005,214.490005,155.114777,100
2015-01-16,219.449997,219.449997,219.449997,219.449997,158.701721,100
2015-01-20,218.000000,220.199997,218.000000,220.100006,159.171783,100
2015-01-21,219.350006,221.910004,219.350006,221.910004,160.480728,100
2015-01-22,222.949997,222.949997,222.949997,222.949997,161.232864,100
2015-01-23,223.449997,226.449997,223.449997,225.750000,163.257767,300
2015-01-26,227.729996,229.000000,227.449997,229.000000,165.608078,300
2015-01-27,227.000000,229.850006,226.800003,229.850006,166.222794,300
2015-01-28,228.500000,229.149994,227.649994,227.649994,164.631805,200
2015-01-29,228.850006,229.789993,228.649994,229.000000,165.608078,200
2015-01-30,226.100006,226.100006,225.289993,225.289993,162.925110,100
2015-02-02,227.100006,229.949997,227.100006,228.690002,165.383926,100
2015-02-03,236.750000,239.479996,235.300003,239.479996,173.187012,400
2015-02-04,236.649994,238.699997,235.750000,235.750000,170.489563,200
2015-02-05,235.750000,235.750000,235.750000,235.750000,170.489563,0
2015-02-06,235.750000,235.750000,235.750000,235.750000,170.489563,0
2015-02-09,233.149994,233.149994,231.350006,231.649994,167.524521,200
2015-02-10,232.850006,233.800003,232.850006,233.800003,169.079361,100
2015-02-11,233.800003,233.800003,233.800003,233.800003,169.079361,0
2015-02-12,240.000000,240.210007,240.000000,240.149994,173.671539,500
2015-02-13,240.000000,240.000000,237.210007,237.210007,171.545410,100
2015-02-17,238.490005,238.600006,238.149994,238.600006,172.550629,900
2015-02-18,242.949997,242.949997,240.000000,240.050003,173.599243,38800
2015-02-19,240.050003,240.050003,240.050003,240.050003,173.599243,0
2015-02-20,247.500000,250.199997,247.500000,249.550003,180.469437,200
2015-02-23,253.339996,253.389999,253.339996,253.389999,183.246445,100
2015-02-24,253.389999,253.389999,253.389999,253.389999,183.246445,0
2015-02-25,246.050003,248.929993,246.050003,247.149994,178.733780,100
2015-02-26,247.149994,247.149994,247.149994,247.149994,178.733780,0
2015-02-27,241.000000,241.000000,240.000000,240.000000,173.563065,100
